frequent_high,frequent_low,frequent_med,infrequent_high,infrequent_low,infrequent_med,new_high,new_low,rare_high,rare_low
0.00130337849425484,0.502439937013767,0.0741460220451817,0.000430301990926241,0.0742458022169907,0.0189301694703856,0.00424377543225082,0.310808998924245,0.000243214168784397,0.0132084002432142
0.000958124812866247,0.914085290217717,0.0593609649685615,3.42187433166517e-05,0.0203173788442619,0.00239531203216562,8.55468582916292e-06,0.00190769493990333,0,0.000932460755378759
0.00716725835621944,0.370286020497019,0.582490454819479,0.000468886060687253,0.00964565610556635,0.0250519123852904,6.69837229553219e-05,0.00301426753298948,0.000133967445910644,0.00167459307388305
0.200956937799043,0.368421052631579,0.344497607655502,0.0239234449760766,0.0191387559808612,0.0239234449760766,0,0,0.00956937799043062,0.00956937799043062
0.000746491489997014,0.84502836667662,0.0604658106897581,0,0.0842042400716632,0.00955509107196178,0,0,0,0
0.00657030223390276,0.298291721419185,0.563731931668857,0,0.0361366622864652,0.0926412614980289,0,0,0.000657030223390276,0.00197109067017083
0.133333333333333,0.3,0.3,0.133333333333333,0,0.133333333333333,0,0,0,0
0.0021505376344086,0.808602150537634,0.176344086021505,0,0.010752688172043,0.0021505376344086,0,0,0,0
0.333333333333333,0.111111111111111,0.555555555555556,0,0,0,0,0,0,0
0.000814310856602485,0.743308203525178,0.101841393259608,0.000183876645039271,0.108119467283091,0.0270824030050697,0,0,0.000131340460742336,0.0185190049646694
0.0874200426439233,0.232409381663113,0.445628997867804,0.0255863539445629,0.0277185501066098,0.140724946695096,0,0,0.0277185501066098,0.0127931769722814
